"Ensembl" "moduleColor" "moduleLabel"
"ENSG00000057294" "yellow" "M2"
"ENSG00000057608" "grey" "M0"
"ENSG00000057663" "yellow" "M2"
"ENSG00000057757" "grey" "M0"
"ENSG00000057935" "grey" "M0"
"ENSG00000058056" "grey" "M0"
"ENSG00000058063" "grey" "M0"
"ENSG00000058091" "red" "M4"
"ENSG00000058262" "brown" "M11"
"ENSG00000058272" "grey" "M0"
"ENSG00000058453" "turquoise" "M1"
"ENSG00000058600" "grey" "M0"
"ENSG00000058668" "black" "M5"
"ENSG00000058673" "grey" "M0"
"ENSG00000058729" "yellow" "M2"
"ENSG00000058799" "grey" "M0"
"ENSG00000058804" "grey" "M0"
"ENSG00000059122" "turquoise" "M1"
"ENSG00000059145" "turquoise" "M1"
"ENSG00000059573" "grey" "M0"
"ENSG00000059588" "turquoise" "M1"
"ENSG00000059691" "grey" "M0"
"ENSG00000059728" "grey" "M0"
"ENSG00000059758" "yellow" "M2"
"ENSG00000059769" "grey" "M0"
"ENSG00000059804" "yellow" "M2"
"ENSG00000059915" "magenta" "M7"
"ENSG00000060069" "grey" "M0"
"ENSG00000060138" "grey" "M0"
"ENSG00000060237" "grey" "M0"
"ENSG00000060339" "grey" "M0"
"ENSG00000060491" "red" "M4"
"ENSG00000060642" "turquoise" "M1"
"ENSG00000060656" "pink" "M6"
"ENSG00000060688" "grey" "M0"
"ENSG00000060718" "black" "M5"
"ENSG00000060749" "grey" "M0"
"ENSG00000060762" "yellow" "M2"
"ENSG00000060971" "grey" "M0"
"ENSG00000060982" "yellow" "M2"
"ENSG00000061273" "brown" "M11"
"ENSG00000061337" "grey" "M0"
"ENSG00000061676" "grey" "M0"
"ENSG00000061794" "yellow" "M2"
"ENSG00000061918" "grey" "M0"
"ENSG00000061936" "grey" "M0"
"ENSG00000061938" "turquoise" "M1"
"ENSG00000061987" "grey" "M0"
"ENSG00000062038" "grey" "M0"
"ENSG00000062194" "grey" "M0"
"ENSG00000062370" "grey" "M0"
"ENSG00000062485" "grey" "M0"
"ENSG00000062598" "grey" "M0"
"ENSG00000062650" "grey" "M0"
"ENSG00000062716" "purple" "M8"
"ENSG00000062725" "grey" "M0"
"ENSG00000062822" "grey" "M0"
"ENSG00000063046" "grey" "M0"
"ENSG00000063127" "turquoise" "M1"
"ENSG00000063169" "turquoise" "M1"
"ENSG00000063176" "turquoise" "M1"
"ENSG00000063177" "grey" "M0"
"ENSG00000063180" "pink" "M6"
"ENSG00000063241" "brown" "M11"
"ENSG00000063244" "grey" "M0"
"ENSG00000063245" "grey" "M0"
"ENSG00000063322" "grey" "M0"
"ENSG00000063587" "grey" "M0"
"ENSG00000063601" "grey" "M0"
"ENSG00000063660" "grey" "M0"
"ENSG00000063761" "grey" "M0"
"ENSG00000063854" "turquoise" "M1"
"ENSG00000063978" "yellow" "M2"
"ENSG00000064042" "grey" "M0"
"ENSG00000064102" "brown" "M11"
"ENSG00000064115" "grey" "M0"
"ENSG00000064199" "pink" "M6"
"ENSG00000064225" "grey" "M0"
"ENSG00000064300" "grey" "M0"
"ENSG00000064309" "pink" "M6"
"ENSG00000064313" "grey" "M0"
"ENSG00000064393" "grey" "M0"
"ENSG00000064419" "grey" "M0"
"ENSG00000064490" "grey" "M0"
"ENSG00000064545" "grey" "M0"
"ENSG00000064547" "grey" "M0"
"ENSG00000064601" "red" "M4"
"ENSG00000064607" "turquoise" "M1"
"ENSG00000064651" "yellow" "M2"
"ENSG00000064652" "grey" "M0"
"ENSG00000064666" "purple" "M8"
"ENSG00000064687" "turquoise" "M1"
"ENSG00000064692" "grey" "M0"
"ENSG00000064703" "grey" "M0"
"ENSG00000064726" "grey" "M0"
"ENSG00000064763" "greenyellow" "M9"
"ENSG00000064932" "grey" "M0"
"ENSG00000064933" "grey" "M0"
"ENSG00000064961" "red" "M4"
"ENSG00000064989" "grey" "M0"
"ENSG00000064995" "grey" "M0"
"ENSG00000064999" "grey" "M0"
"ENSG00000065000" "grey" "M0"
"ENSG00000065029" "turquoise" "M1"
"ENSG00000065054" "red" "M4"
"ENSG00000065057" "brown" "M11"
"ENSG00000065060" "grey" "M0"
"ENSG00000065135" "grey" "M0"
"ENSG00000065150" "grey" "M0"
"ENSG00000065154" "brown" "M11"
"ENSG00000065183" "yellow" "M2"
"ENSG00000065243" "grey" "M0"
"ENSG00000065268" "grey" "M0"
"ENSG00000065308" "greenyellow" "M9"
"ENSG00000065320" "grey" "M0"
"ENSG00000065328" "yellow" "M2"
"ENSG00000065357" "red" "M4"
"ENSG00000065361" "red" "M4"
"ENSG00000065413" "grey" "M0"
"ENSG00000065427" "grey" "M0"
"ENSG00000065457" "grey" "M0"
"ENSG00000065485" "brown" "M11"
"ENSG00000065491" "grey" "M0"
"ENSG00000065518" "grey" "M0"
"ENSG00000065526" "grey" "M0"
"ENSG00000065534" "grey" "M0"
"ENSG00000065548" "yellow" "M2"
"ENSG00000065559" "grey" "M0"
"ENSG00000065600" "grey" "M0"
"ENSG00000065613" "grey" "M0"
"ENSG00000065615" "magenta" "M7"
"ENSG00000065665" "grey" "M0"
"ENSG00000065675" "grey" "M0"
"ENSG00000065802" "yellow" "M2"
"ENSG00000065809" "yellow" "M2"
"ENSG00000065882" "grey" "M0"
"ENSG00000065883" "grey" "M0"
"ENSG00000065911" "purple" "M8"
"ENSG00000065970" "grey" "M0"
"ENSG00000065978" "blue" "M10"
"ENSG00000066027" "grey" "M0"
"ENSG00000066032" "grey" "M0"
"ENSG00000066044" "grey" "M0"
"ENSG00000066084" "turquoise" "M1"
"ENSG00000066117" "grey" "M0"
"ENSG00000066135" "turquoise" "M1"
"ENSG00000066136" "grey" "M0"
"ENSG00000066230" "grey" "M0"
"ENSG00000066279" "turquoise" "M1"
"ENSG00000066322" "purple" "M8"
"ENSG00000066379" "greenyellow" "M9"
"ENSG00000066382" "grey" "M0"
"ENSG00000066422" "magenta" "M7"
"ENSG00000066427" "grey" "M0"
