"Symbol" "moduleLabel"
"ENSG00000066855" "M18"
"ENSG00000066923" "M0"
"ENSG00000066926" "M0"
"ENSG00000066933" "M2"
"ENSG00000067048" "M3"
"ENSG00000067057" "M1"
"ENSG00000067064" "M2"
"ENSG00000067082" "M6"
"ENSG00000067113" "M0"
"ENSG00000067141" "M0"
"ENSG00000067167" "M0"
"ENSG00000067177" "M13"
"ENSG00000067182" "M17"
"ENSG00000067191" "M0"
"ENSG00000067208" "M7"
"ENSG00000067221" "M2"
"ENSG00000067225" "M0"
"ENSG00000067248" "M14"
"ENSG00000067334" "M0"
"ENSG00000067365" "M0"
"ENSG00000067369" "M0"
"ENSG00000067445" "M0"
"ENSG00000067533" "M0"
"ENSG00000067560" "M0"
"ENSG00000067596" "M0"
"ENSG00000067601" "M13"
"ENSG00000067606" "M1"
"ENSG00000067646" "M3"
"ENSG00000067704" "M0"
"ENSG00000067715" "M2"
"ENSG00000067798" "M2"
"ENSG00000067829" "M0"
"ENSG00000067836" "M0"
"ENSG00000067840" "M0"
"ENSG00000067842" "M1"
"ENSG00000067900" "M0"
"ENSG00000067955" "M18"
"ENSG00000067992" "M0"
"ENSG00000068001" "M0"
"ENSG00000068024" "M0"
"ENSG00000068028" "M0"
"ENSG00000068078" "M0"
"ENSG00000068097" "M0"
"ENSG00000068120" "M0"
"ENSG00000068137" "M8"
"ENSG00000068305" "M0"
"ENSG00000068308" "M0"
"ENSG00000068323" "M6"
"ENSG00000068354" "M0"
"ENSG00000068366" "M2"
"ENSG00000068383" "M3"
"ENSG00000068394" "M0"
"ENSG00000068400" "M0"
"ENSG00000068438" "M0"
"ENSG00000068489" "M0"
"ENSG00000068615" "M2"
"ENSG00000068650" "M0"
"ENSG00000068654" "M0"
"ENSG00000068697" "M0"
"ENSG00000068724" "M0"
"ENSG00000068745" "M0"
"ENSG00000068784" "M20"
"ENSG00000068793" "M0"
"ENSG00000068796" "M0"
"ENSG00000068831" "M1"
"ENSG00000068878" "M0"
"ENSG00000068885" "M12"
"ENSG00000068903" "M0"
"ENSG00000068912" "M0"
"ENSG00000068971" "M0"
"ENSG00000069020" "M1"
"ENSG00000069188" "M0"
"ENSG00000069248" "M0"
"ENSG00000069275" "M0"
"ENSG00000069329" "M0"
"ENSG00000069345" "M0"
"ENSG00000069399" "M6"
"ENSG00000069424" "M1"
"ENSG00000069431" "M4"
"ENSG00000069493" "M0"
"ENSG00000069509" "M0"
"ENSG00000069535" "M0"
"ENSG00000069667" "M14"
"ENSG00000069696" "M15"
"ENSG00000069702" "M0"
"ENSG00000069712" "M2"
"ENSG00000069849" "M0"
"ENSG00000069869" "M0"
"ENSG00000069943" "M3"
"ENSG00000069956" "M0"
"ENSG00000069966" "M1"
"ENSG00000069998" "M0"
"ENSG00000070010" "M0"
"ENSG00000070018" "M0"
"ENSG00000070031" "M0"
"ENSG00000070047" "M0"
"ENSG00000070061" "M0"
"ENSG00000070081" "M14"
"ENSG00000070087" "M0"
"ENSG00000070182" "M0"
"ENSG00000070214" "M0"
"ENSG00000070269" "M0"
"ENSG00000070366" "M0"
"ENSG00000070367" "M0"
"ENSG00000070371" "M0"
"ENSG00000070404" "M0"
"ENSG00000070413" "M0"
"ENSG00000070423" "M0"
"ENSG00000070444" "M0"
"ENSG00000070476" "M0"
"ENSG00000070495" "M0"
"ENSG00000070501" "M9"
"ENSG00000070540" "M1"
"ENSG00000070610" "M0"
"ENSG00000070614" "M0"
"ENSG00000070669" "M15"
"ENSG00000070718" "M0"
"ENSG00000070756" "M0"
"ENSG00000070761" "M0"
"ENSG00000070770" "M0"
"ENSG00000070778" "M9"
"ENSG00000070785" "M0"
"ENSG00000070808" "M0"
"ENSG00000070814" "M0"
"ENSG00000070831" "M0"
"ENSG00000070882" "M0"
"ENSG00000070950" "M12"
"ENSG00000070961" "M0"
"ENSG00000071051" "M0"
"ENSG00000071054" "M0"
"ENSG00000071073" "M1"
"ENSG00000071082" "M0"
"ENSG00000071127" "M0"
"ENSG00000071189" "M0"
"ENSG00000071242" "M0"
"ENSG00000071243" "M0"
"ENSG00000071246" "M0"
"ENSG00000071282" "M0"
"ENSG00000071462" "M0"
"ENSG00000071537" "M0"
"ENSG00000071539" "M11"
"ENSG00000071553" "M0"
"ENSG00000071564" "M8"
"ENSG00000071575" "M2"
"ENSG00000071626" "M0"
"ENSG00000071655" "M0"
"ENSG00000071794" "M10"
"ENSG00000071859" "M18"
"ENSG00000071889" "M0"
"ENSG00000071894" "M3"
"ENSG00000071967" "M4"
"ENSG00000071994" "M0"
"ENSG00000072041" "M0"
"ENSG00000072042" "M0"
"ENSG00000072062" "M1"
"ENSG00000072071" "M1"
"ENSG00000072110" "M16"
"ENSG00000072121" "M0"
"ENSG00000072133" "M0"
"ENSG00000072134" "M0"
