"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENSG00000143919",90.0278002295716,-0.415257326422971,0.0673139041633181,-6.16896808444607,6.87370991371178e-10,1.00016787152311e-09
"ENSG00000143924",2467.136077691,-1.20545451212582,0.0492599148034589,-24.4713072877904,2.98570669835803e-132,2.65598082819153e-131
"ENSG00000143933",7685.69986976707,0.093224228151391,0.0614905907431414,1.51607306133726,0.129500879140578,0.141452812130329
"ENSG00000143942",112.464915648902,-1.96823265036702,0.0980862679666542,-20.0663425285601,1.45312805745061e-89,6.93030304322598e-89
"ENSG00000143947",4189.24557847924,-0.468798559682445,0.143371108931592,-3.26982586084429,0.00107613710044695,0.00130727416209854
"ENSG00000143952",757.630210658902,-0.248651204328607,0.0377935568123793,-6.5791956434003,4.73000057145237e-11,7.0878558412096e-11
"ENSG00000143970",665.061463652044,-0.322665118041188,0.0497068209048961,-6.49136501122335,8.50621078401454e-11,1.26664536128776e-10
"ENSG00000143971",438.45073529923,-0.458553747524083,0.0523919941054284,-8.75236293929443,2.08931196406873e-18,3.60698852735756e-18
"ENSG00000143977",754.082165190909,-1.49596456748396,0.125326869828088,-11.9365030781985,7.63668203635821e-33,1.64081401379773e-32
"ENSG00000143995",1465.95677019603,2.00733032332915,0.168456561496319,11.9160114957767,9.76735735294411e-33,2.09476028764399e-32
"ENSG00000144021",1739.50359980412,0.214252942263025,0.0250471395208234,8.55398845384726,1.1890680719053e-17,2.02440879976555e-17
"ENSG00000144026",338.994849729614,0.172904881689165,0.118173081952748,1.46314946544512,0.143426485084166,0.155955936215879
"ENSG00000144028",8430.69628322708,-0.347964147885106,0.0302339605233035,-11.5090494881378,1.18780330525648e-30,2.4703893901446e-30
"ENSG00000144029",889.53591898785,-0.250764567079747,0.0382243442150813,-6.56033667101628,5.36864285731965e-11,8.03235340846509e-11
"ENSG00000144034",458.306816370113,-1.32433790538195,0.0619395715482316,-21.3811279651927,2.00231142885311e-101,1.13365041395599e-100
"ENSG00000144036",1041.82168596138,0.755988245946312,0.0513337363096216,14.7269281430546,4.32942811698691e-49,1.1773397477794e-48
"ENSG00000144040",580.469271531098,0.303317759700565,0.0456895438322395,6.63866903145873,3.16528224189108e-11,4.76407721703661e-11
"ENSG00000144043",1088.02915583727,-0.206805663463742,0.041403517575748,-4.99488148767527,5.88719086510297e-07,7.96178964554287e-07
"ENSG00000144048",291.680660064453,-0.248380097260443,0.0481820524076456,-5.15503356226953,2.53585506019842e-07,3.46554860360087e-07
"ENSG00000144057",1256.95264102796,0.516753624563821,0.151611617030645,3.40840388543161,0.000653441002239753,0.000800263548422019
"ENSG00000144061",109.70761069144,-9.86345163643692,0.474072056982822,-20.8058068201947,3.83454132252931e-96,1.99376659362007e-95
"ENSG00000144115",120.183046844353,0.236842619146804,0.390807762864648,0.606033558317089,0.544492469297688,0.562855421085295
"ENSG00000144118",681.931181221041,-1.20338494622823,0.0620531405444326,-19.3928129288888,8.87479937464795e-84,3.92920519784251e-83
"ENSG00000144120",236.573768766855,-0.573554521534863,0.0744931737229827,-7.69942389174794,1.36681050616403e-14,2.19828577821489e-14
"ENSG00000144134",336.09284877371,0.500171534516625,0.0715011862681156,6.9952900171625,2.64710774156653e-12,4.07178456103383e-12
"ENSG00000144136",1706.01197010281,-1.21466555190852,0.0643738319077608,-18.8689334767111,2.05402161702085e-79,8.55912062815613e-79
"ENSG00000144152",244.776357798368,-11.0130664590624,0.473196556051968,-23.2737671443512,8.17545771489554e-120,5.97659186589595e-119
"ENSG00000144158",92.3869133708957,-9.60391029453501,0.516696934005625,-18.5871246033569,4.08498199660944e-77,1.64565555797448e-76
"ENSG00000144161",408.149953152902,0.413178490460735,0.0407965400073724,10.1277826596586,4.15975153442581e-24,7.83958700235827e-24
"ENSG00000144182",47.6268828390069,-0.214198801441923,0.092135325320288,-2.32482818829053,0.0200811490896238,0.0230512832806622
"ENSG00000144199",147.029265852571,0.135363843903092,0.0903598039159304,1.49805375882658,0.134119283780866,0.14628954073002
"ENSG00000144214",25.6979722565122,0.70534991519333,0.114332216944604,6.16930147987144,6.85923348473669e-10,9.98150192729108e-10
"ENSG00000144218",1650.74308612157,1.52348635828231,0.111850296003659,13.6207628653256,3.01402801559658e-42,7.43199918036831e-42
