"Ensembl" "moduleColor" "moduleLabel"
"ENSG00000050165" "grey60" "M6"
"ENSG00000050344" "grey" "M0"
"ENSG00000050393" "grey60" "M6"
"ENSG00000050405" "purple" "M18"
"ENSG00000050426" "tan" "M2"
"ENSG00000050438" "green" "M13"
"ENSG00000050555" "midnightblue" "M4"
"ENSG00000050628" "grey" "M0"
"ENSG00000050748" "turquoise" "M1"
"ENSG00000050767" "grey" "M0"
"ENSG00000050820" "lightyellow" "M8"
"ENSG00000051009" "grey" "M0"
"ENSG00000051108" "grey" "M0"
"ENSG00000051128" "lightyellow" "M8"
"ENSG00000051382" "tan" "M2"
"ENSG00000051596" "grey" "M0"
"ENSG00000051620" "grey" "M0"
"ENSG00000051825" "grey" "M0"
"ENSG00000052126" "grey" "M0"
"ENSG00000052723" "grey" "M0"
"ENSG00000052749" "grey" "M0"
"ENSG00000052795" "blue" "M10"
"ENSG00000052802" "red" "M14"
"ENSG00000052841" "grey" "M0"
"ENSG00000053108" "grey" "M0"
"ENSG00000053254" "grey60" "M6"
"ENSG00000053371" "grey" "M0"
"ENSG00000053372" "royalblue" "M9"
"ENSG00000053438" "blue" "M10"
"ENSG00000053501" "grey" "M0"
"ENSG00000053702" "grey" "M0"
"ENSG00000053770" "grey" "M0"
"ENSG00000053900" "grey" "M0"
"ENSG00000054116" "grey" "M0"
"ENSG00000054118" "grey" "M0"
"ENSG00000054148" "grey" "M0"
"ENSG00000054267" "grey" "M0"
"ENSG00000054277" "grey" "M0"
"ENSG00000054282" "grey" "M0"
"ENSG00000054356" "turquoise" "M1"
"ENSG00000054392" "green" "M13"
"ENSG00000054523" "grey" "M0"
"ENSG00000054598" "red" "M14"
"ENSG00000054611" "grey" "M0"
"ENSG00000054654" "grey" "M0"
"ENSG00000054690" "green" "M13"
"ENSG00000054793" "grey" "M0"
"ENSG00000054965" "grey" "M0"
"ENSG00000054967" "grey" "M0"
"ENSG00000054983" "blue" "M10"
"ENSG00000055044" "royalblue" "M9"
"ENSG00000055070" "purple" "M18"
"ENSG00000055118" "cyan" "M3"
"ENSG00000055130" "grey" "M0"
"ENSG00000055147" "royalblue" "M9"
"ENSG00000055163" "grey" "M0"
"ENSG00000055208" "grey60" "M6"
"ENSG00000055211" "grey" "M0"
"ENSG00000055332" "grey" "M0"
"ENSG00000055483" "grey" "M0"
"ENSG00000055609" "grey" "M0"
"ENSG00000055813" "red" "M14"
"ENSG00000055917" "grey" "M0"
"ENSG00000055950" "grey" "M0"
"ENSG00000056050" "grey" "M0"
"ENSG00000056097" "grey" "M0"
"ENSG00000056277" "grey" "M0"
